ProductName,BrandName,ChemicalCount,DiscontinuedDate,ChemicalName,Discontinued
01 Sparkle Eye Palette 01/02/03/04/05,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Sparkle Lip Gloss Shade: Pink Sand,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Sun Lustre Bronzer Shade: Bronze Gleam,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 THE SPARKLER SHADE: BOUDOIR PINK,The Body Shop,2,05/13/2014,"'Quartz', 'Titanium dioxide'",0
01 THE SPARKLER SHADE: DAZZLING COPPER,The Body Shop,2,05/13/2014,"'Titanium dioxide', 'Quartz'",0
01 Tinted Glow Enhancer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 bronze shade: golden bronze,The Body Shop,1,0,'Titanium dioxide',1
01 cheek & face powder,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 eye colour shade: copper,The Body Shop,1,0,'Titanium dioxide',1
01 the sparkler shade: boudoir pink,The Body Shop,1,0,'Titanium dioxide',1
010 CERR0 RICO SILVER EYESHADOW,The Body Shop,1,0,'Titanium dioxide',1
010 COLOUR CRUSH SHADE: SMOKIN HOT,The Body Shop,1,0,'Titanium dioxide',1
010 DELICIOUS MULTI-BALM,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
010 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
010 LIP & CHEEK STAIN VINEYARD PEACH,The Body Shop,1,0,'Titanium dioxide',1
010 NAIL COLOUR SHADE: PLUM ADDICT,The Body Shop,1,0,'Titanium dioxide',1
012 LIP & CHEEK STAIN DUTCH TULIP,The Body Shop ,1,0,'Titanium dioxide',1
015 COLOUR CRUSH SHADE: MOONLIGHT KISS,The Body Shop,1,07/10/2013,'Titanium dioxide',0
018 LIP & CHEEK STAIN DARK CHERRY,The Body Shop,1,0,'Titanium dioxide',1
02 ALL-IN-ONE CHEEK COLOUR SHADE: GINGER,The Body Shop,1,0,'Titanium dioxide',1
02 ALL-IN-ONE-CONCEALER,The Body Shop,1,0,'Titanium dioxide',1
02 All In One Face Base,The Body Shop,1,0,'Titanium dioxide',1
02 BLUSH SHIMMER WAVES,The Body Shop,1,0,'Titanium dioxide',1
02 BRILLIANCE POWDER SHADE: SHIMMER GOLD,The Body Shop,2,07/08/2013,"'Quartz', 'Titanium dioxide'",0
02 Blush Shade: Coral,The Body Shop,1,0,'Titanium dioxide',1
02 Blush Trio Shade: Warm Sunset (Pale Coral); 02 Blush Trio Shade: Warm Sunset (Red);,The Body Shop,1,0,'Titanium dioxide',1
02 Body & Leg Shine,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Bronze Shade: Warm Glow,The Body Shop,1,0,'Titanium dioxide',1
02 Bronzing  Powder,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Brow & Liner Kit Shade: Brunette,The Body Shop,1,0,'Titanium dioxide',1
02 Brow Definer Shade: Brown/Brunette,The Body Shop,1,0,'Titanium dioxide',1
02 COLOURGLIDE SHINE LIP COLOUR SHADE: SHELL PINK,The Body Shop,1,0,'Titanium dioxide',1
02 CONCEALER,The Body Shop,1,02/19/2014,'Titanium dioxide',0
02 CONCEALER PENCIL,The Body Shop,1,0,'Titanium dioxide',1
02 Cheek Bloom Shade: Dune Pink,The Body Shop,1,07/11/2013,'Titanium dioxide',0
02 Cheek Blush Shade: Raspberry Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Cheek Colour Shade: Terracotta,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Clean Good,Pearlosophy,1,0,'Cocamide DEA',1
02 Cream Eye Colour Shade: Dust Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Duo Eye Shadow: Eucalyptus Grey,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Eye Colour Matte,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Eye Colour Shade: Moonstone,The Body Shop,1,0,'Titanium dioxide',1
02 Eye Colour Shade: Radiant Graphite,The Body Shop,1,07/11/2013,'Titanium dioxide',0
02 Eye Lustre Liner Shade: Mercury Shine,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Eye Lustre Pearl Shade: Golden Green,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Eye Pencil Shade: Rocky Blue,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Eye Shimmer,The Body Shop,1,02/11/2014,'Titanium dioxide',0
02 Eye Trio Shade: Sundown Glow (Copper); Sundown Glow (Dark Brown); Sundown Glow (Pale Sand),The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
02 Flawless Skin Protecting Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Glow Enhancer Shade: Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Hi-shine Lip Treatment Shade: Mauve Dream,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Hot Brights Blush (Bronze),The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Hot Brights Blush (Pale Coral),The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Hot Brights Eye Colour (Blue),The Body Shop,1,07/11/2013,'Titanium dioxide',0
02 Hot Brights Eye Colour (Cream),The Body Shop,1,07/11/2013,'Titanium dioxide',0
02 Hot Brights Eye Liner (Blue); 02 Hot Brights Eye Liner (Blue Glitter),The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Hot Brights Lips & Cheeks (Bronze Gloss),The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 LIP LINER SHADE: BEECH,The Body Shop,1,0,'Titanium dioxide',1
02 Lip & Cheek Stain Shade: Bronze Glimmer,The Body Shop,1,0,'Titanium dioxide',1
02 Lip Click Shade: Dusky Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Lip Colour Shade: Honey,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Lip Gloss Dot,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Lip Liner Shade: Beech,The Body Shop,1,0,'Titanium dioxide',1
02 Liquid Lip Colour Shade:Golden Coral,The Body Shop,1,07/12/2013,'Titanium dioxide',0
02 Loose Face Powder,The Body Shop,1,0,'Titanium dioxide',1
02 Metallic Eye Liner Shade: Gold Dust,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Moisture Foundation SPF 15,The Body Shop,1,0,'Titanium dioxide',1
02 Oil-free Balancing Foundation,The Body Shop,1,0,'Titanium dioxide',1
02 Roseflower Blush Shade: Fuchsia,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Roseflower Eyes Shade: Mint Green,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Roseflower Lips Shade: True Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 SHIMMER PALETTE SHADE: OH DEER! BLUSH,The Body Shop,1,02/11/2014,'Titanium dioxide',0
02 SHIMMER WAVES SHADE: BLUSH,The Body Shop,1,0,'Titanium dioxide',1
02 Sheer Lip Lustre Shade: Golden Rose,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Sheer Lip Shine Shade: Sheer Guava,The Body Shop,1,02/11/2014,'Titanium dioxide',0
02 Shimmer Sun Gel,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Sparkle Eye Liner: Golden Sun,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Sparkle Eye Palette 01/02/03/04/05 Shade,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Sparkle Lip Gloss Shade: Dusk Rose,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Sparkle Nail Colour Shade Twinkling Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 THE SPARKLER SHADE: ENCHANTING GOLD,The Body Shop,2,05/13/2014,"'Titanium dioxide', 'Quartz'",0
02 Tinted Glow Enhancer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Ultra Lip Gloss Shade: Molten Copper,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 Ultra Smooth Foundation,The Body Shop,1,07/10/2013,'Titanium dioxide',0
02 the sparkler shade: enchanting gold,The Body Shop,1,0,'Titanium dioxide',1
020 COLOUR CRUSH SHADE: GLITTERY NIGHT,The Body Shop,1,0,'Titanium dioxide',1
020 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
020 NAIL COLOUR SHADE: RED BELLIOUS,The Body Shop,1,0,'Titanium dioxide',1
020 SIBERIAN ANTHRACITE EYESHADOW,The Body Shop,1,0,'Titanium dioxide',1
022 LIP & CHEEK STAIN PINK GUAVA,The Body Shop,1,0,'Titanium dioxide',1
026 LIP & CHEEK STAIN BRIGHT PEONY,The Body Shop,1,0,'Titanium dioxide',1
029 LIP & CHEEK STAIN DEEP BERRY,The Body Shop,1,0,'Titanium dioxide',1
03 ALL-IN-ONE CHEEK COLOUR SHADE: FLUSHED,The Body Shop,1,0,'Titanium dioxide',1
03 ALL-IN-ONE FACE BASE,The Body Shop,1,0,'Titanium dioxide',1
03 ALL-IN-ONE-CONCEALER,The Body Shop,1,0,'Titanium dioxide',1
03 All In One Face Base,The Body Shop,1,0,'Titanium dioxide',1
03 Bronzing Powder,The Body Shop,1,02/11/2014,'Titanium dioxide',0
03 Brow & LIner Kit Shade: Black,The Body Shop,1,0,'Titanium dioxide',1
03 Brow Definer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Brow Definer Shade: Dark Brown,The Body Shop,1,0,'Titanium dioxide',1
03 COLOUR CRUSH SHINE LIP COLOUR SHADE: PINK CHARMING,The Body Shop,1,0,'Titanium dioxide',1
03 COLOURGLIDE SHINE LIP COLOUR SHADE: PINK FLASH,The Body Shop,1,0,'Titanium dioxide',1
03 CONCEALER,The Body Shop,1,02/19/2014,'Titanium dioxide',0
03 CONCEALER PENCIL,The Body Shop,1,0,'Titanium dioxide',1
03 CORAL SHIMMER WAVES,The Body Shop,1,0,'Titanium dioxide',1
03 Cheek Blush Shade: Heather Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Cheek Colour Shade: Warm Copper,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Cream Eye Colour Shade: Arctic Ivy,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Eye Colour Shade: Golden Emerald,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Eye Colour Shade: Jade,The Body Shop,1,0,'Titanium dioxide',1
03 Eye Definer Shade: Taupe,The Body Shop,1,0,'Titanium dioxide',1
03 Eye Lustre Liner Shade:Glistening Blue,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Eye Lustre Pearl Shade: Lustrous Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 FLAVOURED LIP GLOSS: GLAZED APPLE,The Body Shop,1,0,'Titanium dioxide',1
03 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
03 Flawless Skin Protecting Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Flawless Skin Skin Protecting Concealer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Hi-shine Lip Tretament Shade: Bronze Beam,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 LIP & CHEEK STAIN SHADE: RED,The Body Shop,1,0,'Titanium dioxide',1
03 LIQUID EYELINER SHADE: TAUPE,The Body Shop,1,02/11/2014,'Titanium dioxide',0
03 Lightening Touch,The Body Shop,1,0,'Titanium dioxide',1
03 Lip Gloss Dot,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Lip Liner Shade: Clover Pink,The Body Shop,1,0,'Titanium dioxide',1
03 Liquid Lip Colour Shade: Soft Red,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Moisture Foundation SPF 15,The Body Shop,1,0,'Titanium dioxide',1
