,ChemicalName,ChemicalDescription,Wiki Link,PrimaryCategory,ProductName
53,Makeup Products (non-permanent),,,"Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ,Skin Care Products ,Hair Care Products (non-coloring),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ","(re)Fresh Dry Shampoo,BESTWE,BESTWE SPRAY,Fungus Treatment,Glow Shine Spray,Lip Lava Liquid Lipstick,Lipstick,SKIN CLEARIFY SPOT TREATMENT"
54,Makeup Products (non-permanent),,,"Makeup Products (non-permanent),Nail Products,Nail Products,Nail Products,Hair Care Products (non-coloring)","Highlighter - Radiance Boost Liquid Luminizer,Nail Polish,Sulfate Free Color Lock Shampoo"
55,Makeup Products (non-permanent),,,"Skin Care Products ,Bath Products,Skin Care Products ,Bath Products,Skin Care Products ,Skin Care Products ,Sun-Related Products,Skin Care Products ,Sun-Related Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Makeup Products (non-permanent),Fragrances,Bath Products,Bath Products","ADVANCED OPTIMIZER SERUM,Calvin Klein Obsession Shower Gel,Elizabeth Arden Ceramide Plump Perfect Firming Body Souffle,Elizabeth Arden Ceramide Plump Perfect Gentle Line Smoothing Exfoliator,Elizabeth Arden Ceramide Plump Perfect Targeted Line Concentrate,Elizabeth Arden Ceramide Plump Perfect Ultra Lift and Firm Moisture Cream SPF 30,Elizabeth Arden Ceramide Time Complex Moisture Cream SPF 15,Moisturizing Shampoo,Perfect Comb Out Cold Wave for Noraml or Resistant Hair,Salon Alkaline Perm for Normal - Resistant Hair Waving Lotion,Soft Focusing Lotion,Sunflowers Eau de Toilette Spray Naturel,Vera Wang Bath and Shower Creme,Vera Wang Princess Body Polish"
56,Makeup Products (non-permanent),,,"Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring)","Curl Lock Conditioner,Curl Lock Shampoo,Facial Cleanser,HEMPZ TREATS GINGERBREAD COOKIE DELICIOUS BODY LOTION,Harmon  Face Values Brazilian Keratin Shampoo 21oz (w/pump),Harmon Face Values Argan Oil Conditioner 21oz  (w/pump),Harmon Face Values Argan Oil Shampoo 21oz (w/pump),Harmon Face Values Brazilian  Keratin 14 Days Straightening Treatment 4oz (boxed),Harmon Face Values Brazilian Keratin Conditioner 21oz (w/pump),Harmon Face Values Coconut Milk Nourishing Conditioner 21oz (w/pump),Harmon Face Values Coconut Milk Nourishing Shampoo 21oz (w/pump),Harmon Face Values Swim Repair Chlorine Removal Shampoo with Argan Oil 12oz,Harmon Face Values Swim Repair Conditioner with Argan Oil 12oz,Hydrate Conditioner,Hydrate Shampoo,Intensity Conditioning Therapy,Intensity Conditioning Treatment,Interrupt Texturizing Clay,Moisturizing Conditioner,Moisturizing Shampoo,Texture Cream,Texture Cream Casual Styler,Texturizing Clay,Thickening Shampoo + Conditioner"
57,Makeup Products (non-permanent),,,Bath Products,Coconut Kiss Exfoliating Coffee Body Scrub
58,Makeup Products (non-permanent),,,"Nail Products,Skin Care Products ","Rejuvacote1,pH Balance Mattefying Toner"
59,Makeup Products (non-permanent),,,"Makeup Products (non-permanent),Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Bath Products,Bath Products,Sun-Related Products,Nail Products,Sun-Related Products,Baby Products,Baby Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Nail Products,Nail Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Nail Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Personal Care Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Nail Products,Makeup Products (non-permanent),Nail Products,Skin Care Products ,Personal Care Products,Skin Care Products ,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Hair Care Products (non-coloring),Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Hair Care Products (non-coloring),Personal Care Products,Skin Care Products ,Bath Products,Hair Care Products (non-coloring),Sun-Related Products,Personal Care Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Nail Products,Nail Products,Nail Products,Nail Products,Nail Products,Makeup Products (non-permanent),Nail Products,Nail Products,Nail Products,Hair Care Products (non-coloring),Nail Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Makeup Products (non-permanent),Baby Products,Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Hair Care Products (non-coloring)","45 Starter Kit,ADVANCED OPTIMIZER CREME,ADVANCED OPTIMIZER SERUM,ALPHA -CONTOUR - eye contour renewing gel,ALPHA EXFOLIATEUR - facial exfoliating fluid for all skin types,ARGILE MARINE - Body mud mask,AUTOBRONZANT - Face and body self tanning lotion,Amanicure Design,BONNE MINE - Bronzer moist for men,Baby Bath,Baby Shampoo,Beauty 104 Black Fashion Lash,Beauty Fash Lash,Beauty Fash Lash #110,Bewitching,Beyond Lacquer,Biotin Nail Hardener,Black Feathers Starter Kit,Black Wings Starter Kit,Blonde Bombshell,Body Bath and Shampoo,Calcium Nail Hardener,Charmed,Clario Clear,Clario Ultrablue Antibacterial Foam Skin Cleanser,Clear Lash Adhesive,Cleopatra,Cormatic•À_ Food Processing Hand Wash,Curl Lock Shampoo,Dark Angel,Dark Lash Adhesive,Demi Wispies Starter Kit,Enchanting Starter Kit,Enchantress,Express Nail Hardener,Fairy Wings,Foundation II,GALBOL 190 - Body firming fluid,Hand and Body Lotion,Heart 2 Art Nail Polish,Hydrate Shampoo,Intensity Conditioning Therapy,Intensity Conditioning Treatment,Interrupt Texturizing Clay,Knuckle Under HD Hand Cleaner With Soy,Lash Combo Display,Lash Kit Display,LashGrip Clear,LashGrip Dark,Lashgrip Beauty Adhesive,Lashgrip Beauty Adhesive Clear,Lashgrip Beauty Adhesive Dark,Mesmerizing,Moisturizing Shampoo,Nail Envy,Nail Magic Hardener and Conditioner,Nail Optimizer,Neon Color Acrylic Powders,Nexxus Phyto Organic Sea Swell Texturizing Mist,One-Step Body Bath Concentrate,One-Step Shampoo,PROLONGATEUR DE BRONZAGE - Color enhancing body lotion,Perineal Wash,Pixie Dust,Purple Wings Starter Kit,Rebuild,Recondition,Regal Lacquer,Romantic Starter Kit,Sation Lacquer,Seche Plus,Shampoo,Sheila Lacquer,Shimmering,Sorceress,Spider Woman,Surgical Adhesive,Texture Cream,Texture Cream Casual Styler,Texturizing Clay,Vampira,Vitamin C Serum,Wicked,Winning Hands Antibacterial,Winning Hands Foaming,Winning Hands Foaming Antibacterial,Winning Hands Foaming Hair Body Shampoo,Winning Hands Hair & Body,Winning Hands Pink Lotion,Winning Hands Premium Lotion,Winning Hands Ultra Mild Antibacterial,iStraight Keratin"
60,Makeup Products (non-permanent),,,Nail Products,MAVALA SCIENTIFIQUE
61,Makeup Products (non-permanent),,,"Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ","Phytoclear,Phytoharmony,Post Partum Body Restructuring Gel,Super Rich Repair,apr•À_s peel•À_ hydrating balm,facial wash"
62,Makeup Products (non-permanent),,,"Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ,Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent),Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ,Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Makeup Products (non-permanent),Sun-Related Products,Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ,Sun-Related Products,Skin Care Products ,Sun-Related Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent),Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ","180 Face Wash,180 Night Complex,5 COULEURS Hight Fidelity Colours & Effects Eyeshadow Palette,AMOREPACIFIC PRIME RESERVE Epidynamic Activating Program,Age Defying Serum,Age-Fighting Lip Primer,BODY GEL,Botanical Mask Pack - Collagen + Olive,Botanical Mask Pack- Chamomile +  Tea Tree,Botanical Mask Pack-Sodium hyaluronate + lotus,Botanical Pure Mask Pack # Adenosine +Acal,Botanical Pure Mask Pack # Madecassoside = Mugwort,Botanical Pure Mask Pack # Niacinamide +Lime,Elixir Collection Brunette Elixir,Elixir Collection Colour Protecting Hair Mask,Eye Essence,Flawless Effect Liquid Foundation Broad Spectrum SPF 15,Herbal Matte Lipsticks,I'm Blushing 2-in-1 Cheek and Lip Tint,In The Zone,Jump Start,Keep Calm and Hydrate On,Line Out Loud Intense Shimmer Liquid Eyeliner,Liquid Luminosity,Luminous Foundation,MENS NULL Face Wash,Micro Mask,Mineral Sheer Tint Broad Spectrum SPF 20,Mineral Sheer Tint Demi-Matte,Mineral Wear Flawless Airbrushing Kit,Mineral Wear Talc-Free Mineral Airbrushing Blush,Mineral Wear Talc-Free Mineral Airbrushing Bronzer,Mineral Wear Talc-Free Mineral Airbrushing Loose Powder,Mineral Wear Talc-Free Mineral Airbrushing Pressed Powder,Mineral Wear Talc-Free Mineral Oh So Radiant Powder,Morning Dew,Nourish Spa Conditioner,Nourish Spa Shampoo,Olive Bout You,PHILOSOPHY PURITY MADE SIMPLE HYDRA-BOUNCE EYE GEL,PREVENTAGE FIRMING DEFENSE CREAM NORMAL/OILY,PREVENTAGE FIRMING DEFENSE CREME NORMAL/DRY,Re:Firm,Re:Firm Eye,Redefine Multi-Function Eye Cream,Regenerating Intensive Treatment,RetexturCreme•À_ Face Primer,SULWHASOO ESSENTIAL REVITALIZING SERUM,See The Light,Sonya Soothing Gel Mositurizer,Sulwhasoo Essential Refining Eye Cream,TIME IN A BOTTLE FOR EYES DAILY AGE-DEFYING EYE SERUM,Time Warp,Tru Face Skin Perfecting Gel,Ultimate miracle worker multi-rejuvenating eye cream broad spectrum spf 15 - Duraquench reform,Unwind,Up All Night"
